Epoch	Time(sec)	Loss_train	MSE_dev	MSE_test
1	0.12427742799991393	2.5501108169555664	9.63787910505198	6.486693184869364
2	0.23973193499841727	2.5291945338249207	9.590018750238233	6.677903068391606
3	0.3472748749991297	2.6848376989364624	9.542862638505175	6.971497171046212
4	0.45044284199866524	2.7274321913719177	9.407230638014152	7.153134954907
5	0.5562708009983908	2.465020716190338	9.164923140406609	6.8722538944333795
6	0.6646366719996877	2.2999789714813232	9.04262167289853	6.637204227951588
7	0.7772772379994421	2.20994234085083	8.764542561990675	7.514660642901435
8	0.8904176159994677	2.253769636154175	8.440828777481153	7.861370696674567
9	0.9979816619998019	2.136917769908905	8.134616971202195	7.495140314102173
10	1.1334646709983645	2.1778272688388824	8.176597904507071	7.162179575860501
