Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test
1	0.251197637999212	5.6017530262470245	0.2068965517241379	1.0	0.0	0.0
2	0.4933291569996072	2.5969168841838837	0.24137931034482762	1.0	0.0	0.0
3	0.742252099000325	1.1704127565026283	0.27586206896551724	1.0	0.0	0.0
4	0.9862565519997588	1.5777703486382961	0.3448275862068966	1.0	0.0	0.0
5	1.2402827269997942	1.0061712861061096	0.4137931034482759	1.0	0.0	0.0
6	1.4937691509985598	1.0743915140628815	0.4482758620689655	0.9655172413793104	0.0	0.0
7	1.738493553999433	0.8983250223100185	0.48275862068965514	0.9655172413793104	0.0	0.0
8	2.0100046129991824	0.8787145279347897	0.5172413793103448	0.896551724137931	0.0	0.0
9	2.266483118999531	0.9442508108913898	0.5172413793103448	0.8275862068965517	0.0	0.0
10	2.5121922279995488	0.8328122198581696	0.5517241379310345	0.7931034482758621	0.0	0.0
