Epoch	Time(sec)	Loss(MSE)	MSE_dev(unit)	MSE_test(unit)
0	0.0653728190009133	9479.6552734375	6095.79535890799	7504.136066894143
1	0.10473121300310595	3273.5103759765625	1136.0474815093203	1660.9534779394285
2	0.15244428900041385	608.5573654174805	182.15285466950158	295.34770741574914
3	0.19663570300326683	196.29603958129883	1220.056999237573	1241.9800812228198
4	0.23312968600657769	710.3557281494141	2091.0020138526966	2112.3117586979615
5	0.2728136940058903	1023.2019958496094	1931.1361188537962	1927.6250950666358
6	0.3193713210057467	818.0960235595703	1201.6726880826106	1178.69251965577
7	0.37509342500561615	409.8337936401367	534.8118335438334	532.0706415672751
8	0.4177219960038201	153.48783493041992	184.2824583891773	242.26127186098938
9	0.46209826600534143	82.31123542785645	102.05099939444054	229.51507392384315
10	0.5088632310071262	109.4080696105957	126.24808641267892	300.9749464063843
11	0.5654740430036327	177.3745231628418	144.096345183689	333.0224869897214
12	0.6153403100033756	171.06366348266602	123.03077325305006	292.45001018145496
13	0.6587725860008504	142.9319076538086	95.08003858898111	226.26016328378265
14	0.6975859240046702	94.84714317321777	94.65240470294239	181.70372413586043
15	0.7355893980056862	56.872050285339355	130.93244240113907	179.78352644216773
16	0.7743911340003251	52.23207187652588	181.18849663579425	203.999879726384
17	0.8205774790039868	60.52126502990723	216.0387753640902	224.80911049215678
18	0.870445976004703	63.78194046020508	218.3839048205892	224.00570018213065
19	0.9127952530034236	64.44965171813965	194.49253900356425	204.9275024051538
20	0.9511296220007353	54.62582015991211	156.23228227345476	178.4114089298875
21	0.9866575760024716	45.534812927246094	123.06259059020988	158.91137657911233
22	1.0326594930011197	43.247026443481445	102.29005757062923	149.49684434889934
23	1.1020964150011423	40.5868501663208	91.4214573334232	145.41589379514542
24	1.1508006370058865	39.893900871276855	88.02252635919805	142.72447861265044
25	1.226556845002051	43.09328651428223	90.64810976066448	140.10083574188707
26	1.2983664870043867	41.161033630371094	98.51964968682162	139.06857237739433
27	1.3437942210002802	33.915663719177246	107.09031865623186	139.63323640582934
28	1.3856017860016436	31.33555507659912	112.07034389664857	139.81340207880336
29	1.428044967004098	31.543267250061035	114.64970039698946	139.33222825810367
30	1.4645668100056355	29.78216552734375	113.53874985207874	137.29389075425368
31	1.509696930006612	29.48957633972168	110.27910597481537	134.41696560965065
32	1.5466203490068438	27.754114151000977	104.86852747978648	130.7413010733507
33	1.5859253720045672	27.555997848510742	99.29413182723673	127.20828726098162
34	1.6386802760025603	25.44947576522827	95.6902336413343	124.48074859091805
35	1.6855445500041242	25.287799835205078	94.96756336593344	122.76020745450879
36	1.7378981820002082	24.540912628173828	93.04239590267488	120.70334274943302
37	1.8100099110015435	23.37657403945923	92.76783675657042	119.42579054671216
38	1.8779069800002617	21.09134006500244	91.69931660954578	118.00934179178276
39	1.9380265960062388	21.03512477874756	91.5927726890629	116.84403549760653
40	1.9870497310039354	19.986326217651367	91.71959456532056	115.88576950821809
41	2.0311467410065234	18.636329889297485	91.34716211090316	114.73453053914042
42	2.082668006005406	19.216995239257812	92.00019898104833	114.0753132785771
