Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test
1	0.27062005100015085	5.603001743555069	0.896551724137931	0.7931034482758621	0.0	0.0
2	0.5314132320017961	1.5962634608149529	0.6551724137931034	0.9655172413793104	0.0	0.0
3	0.7833757549997244	1.02307840436697	0.5862068965517242	1.0	0.0	0.0
4	1.0412510160022066	1.5795616284012794	0.6206896551724138	1.0	0.0	0.0
5	1.307774356999289	0.9735073857009411	0.6551724137931034	1.0	0.0	0.0
6	1.5679746339992562	1.0867514368146658	0.7241379310344828	1.0	0.0	0.0
7	1.8329558969999198	0.9287758730351925	0.7241379310344828	0.9655172413793104	0.0	0.0
8	2.1073706520000997	0.8751143552362919	0.7241379310344828	0.9655172413793104	0.0	0.0
9	2.377882980999857	0.9558077286928892	0.7241379310344828	0.9655172413793104	0.0	0.0
10	2.6336483390005014	0.8488058131188154	0.7241379310344828	0.9655172413793104	0.0	0.0
