Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test
0	0.102166039999247	11.300433036405593	0.8620689655172413	0.4482758620689655	0.0	0.0
1	0.17068408299928706	6.175338581146207	0.8620689655172413	0.5172413793103448	0.0	0.0
2	0.24883202599994547	4.667265010997653	0.8275862068965517	0.4482758620689655	0.0	0.0
3	0.31886187300005986	5.428295489400625	0.8620689655172413	0.48275862068965514	0.0	0.0
4	0.4002446919994327	2.671448666602373	0.8620689655172413	0.48275862068965514	0.0	0.0
5	0.468353162999847	1.8257084260694683	0.9310344827586207	0.48275862068965514	0.0	0.0
6	0.537643270999979	0.921374312689295	0.9310344827586207	0.5172413793103448	0.0	0.0
7	0.6174416069998188	0.7216069903224707	0.9310344827586207	0.6206896551724138	0.0	0.0
8	0.6897144899994601	0.8744643433019519	0.9655172413793104	0.6206896551724138	0.0	0.0
9	0.7741440999998304	0.3146482261363417	0.9655172413793104	0.6551724137931034	0.0	0.0
