Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test
0	0.1984523069986608	5.8611907958984375	0.8620689655172413	0.4482758620689655	0.0	0.0
1	0.30888758299988694	4.074963837862015	0.8620689655172413	0.5172413793103448	0.0	0.0
2	0.41133474899834255	3.3628220558166504	0.8620689655172413	0.5172413793103448	0.0	0.0
3	0.5241992859955644	2.5389598719775677	0.8620689655172413	0.4482758620689655	0.0	0.0
4	0.6318074769951636	2.1188469231128693	0.8620689655172413	0.48275862068965514	0.0	0.0
5	0.7403902109945193	1.7056133300065994	0.8620689655172413	0.5172413793103448	0.0	0.0
6	0.8627623069987749	1.1907240599393845	0.896551724137931	0.48275862068965514	0.0	0.0
7	0.9781341089983471	1.4616402089595795	0.896551724137931	0.48275862068965514	0.0	0.0
8	1.0971007699990878	0.6728902980685234	0.9655172413793104	0.6551724137931034	0.0	0.0
9	1.2144102859965642	1.1872470551170409	0.9655172413793104	0.6896551724137931	0.0	0.0
